,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
45,47,61,Brighton,2,True,2023-09-30T11:30:00Z,6,1,7,89,0,0,0,1,0,0,0,0,0,0,0,11,12.0,1.7,0.0,1.4,1,0.00,0.01,0.01,1.71,50,374,12620,1288,914,47,Boubacar Kamara,50,MID,Aston Villa,Brighton,Aston Villa
46,48,61,Brighton,1,True,2023-09-30T11:30:00Z,6,1,7,90,0,0,0,1,0,0,0,1,0,0,0,10,20.0,0.4,0.0,2.0,1,0.00,0.00,0.00,1.71,45,2774,100950,7136,4362,48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,Brighton,Aston Villa
47,49,61,Brighton,2,True,2023-09-30T11:30:00Z,6,1,7,90,0,0,0,1,0,0,0,0,0,2,0,10,14.6,0.0,0.0,1.5,1,0.00,0.00,0.00,1.71,49,10489,645065,30829,20340,49,Emiliano Martínez Romero,49,GKP,Aston Villa,Brighton,Aston Villa
48,50,61,Brighton,5,True,2023-09-30T11:30:00Z,6,1,7,90,0,1,0,1,0,0,0,0,0,0,0,19,33.6,41.1,5.0,8.0,1,0.04,0.28,0.32,1.71,55,-1147,55606,3485,4632,50,John McGinn,55,MID,Aston Villa,Brighton,Aston Villa
49,51,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,42,-26435,203447,444,26879,51,Tyrone Mings,42,DEF,Aston Villa,Brighton,Aston Villa
50,53,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1392,81651,1691,3083,53,Robin Olsen,40,GKP,Aston Villa,Brighton,Aston Villa
51,54,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-901,8212,0,901,54,Jaden Philogene-Bidace,45,MID,Aston Villa,Brighton,Aston Villa
52,55,61,Brighton,6,True,2023-09-30T11:30:00Z,6,1,7,33,1,0,0,0,0,0,0,0,0,0,0,19,32.8,1.1,11.0,4.5,0,0.07,0.04,0.11,0.37,59,171,7218,727,556,55,Jacob Ramsey,59,MID,Aston Villa,Brighton,Aston Villa
53,56,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-15,513,0,15,56,Morgan Sanson,45,MID,Aston Villa,Brighton,Aston Villa
54,57,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-22,464,0,22,57,Viljami Sinisalo,40,GKP,Aston Villa,Brighton,Aston Villa
