,season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,name
205,2021/22,111931,55,52,35,990,1,3,1,20,0,0,0,3,0,0,3,202,274.8,139.6,122.0,53.7,Ricardo Barbosa Pereira
206,2021/22,155569,40,40,55,2118,0,0,5,40,0,0,0,4,0,0,4,422,460.4,69.4,20.0,54.9,Daniel Amartey
207,2021/22,166477,55,53,75,2124,1,0,6,30,0,0,0,1,0,0,6,365,435.4,241.0,103.0,78.1,Timothy Castagne
208,2021/22,166989,65,64,120,2629,6,4,6,42,0,0,0,3,0,0,14,532,723.8,578.9,460.0,175.8,Youri Tielemans
209,2021/22,168580,60,57,35,438,2,3,1,15,0,0,0,0,1,0,2,101,172.4,139.7,180.0,48.7,Ayoze Pérez
210,2021/22,172780,70,69,181,2454,12,11,5,41,0,0,0,3,0,0,24,637,827.4,706.2,770.0,230.2,James Maddison
211,2021/22,173515,75,70,80,1253,4,6,1,25,0,0,0,1,0,0,10,246,292.0,242.7,390.0,92.2,Kelechi Iheanacho
212,2021/22,197469,45,44,8,284,0,0,1,4,0,0,0,1,0,0,0,41,43.0,2.8,6.0,5.3,Hamza Choudhury
213,2021/22,201666,70,65,137,2095,6,12,8,30,0,0,0,2,0,0,10,377,546.2,425.3,1000.0,196.8,Harvey Barnes
214,2021/22,203341,50,48,41,1617,0,1,5,26,0,0,0,4,0,0,0,240,322.0,66.0,179.0,57.0,Wilfred Ndidi
215,2021/22,215413,45,44,70,2101,1,2,8,27,0,0,0,4,0,0,4,337,377.6,505.6,221.0,110.6,Kiernan Dewsbury-Hall
216,2021/22,218031,50,49,66,2497,1,0,5,44,0,0,0,5,0,0,6,454,606.4,64.7,90.0,76.2,Çaglar Söyüncü
217,2021/22,220627,50,49,29,996,0,0,2,13,0,0,0,0,0,0,1,167,190.0,136.2,97.0,42.5,James Justin
218,2021/22,225902,50,48,36,1095,0,1,2,27,0,0,0,0,0,0,1,153,142.6,98.6,40.0,28.1,Boubakary Soumaré
219,2021/22,244619,45,43,50,1911,0,1,5,35,0,0,0,2,0,0,1,349,406.2,198.5,59.0,66.6,Luke Thomas
220,2021/22,245419,75,70,70,1152,5,3,3,20,0,0,0,2,0,0,8,216,287.8,166.2,460.0,90.9,Patson Daka
221,2021/22,444463,45,43,17,630,0,0,1,7,0,0,0,2,0,0,2,112,131.4,30.1,32.0,19.4,Wesley Fofana
222,2021/22,232620,45,45,1,23,0,0,0,1,0,0,0,0,0,0,0,2,2.0,1.5,2.0,0.6,Lewis Brunt
