index,name,team,points,value
Phil Foden2023-09-30T14:00:00Z,Phil Foden,Man City,4.957425039167387,76
Philip Billing2023-09-30T14:00:00Z,Philip Billing,Bournemouth,2.619053164368129,53
Pierre-Emile Højbjerg2023-09-30T16:30:00Z,Pierre-Emile Højbjerg,Spurs,1.8378955486177275,53
Raheem Sterling2023-10-02T19:00:00Z,Raheem Sterling,Chelsea,4.307091767655787,72
Reiss Nelson2023-09-30T14:00:00Z,Reiss Nelson,Arsenal,1.5410518265859843,49
Richarlison de Andrade2023-09-30T16:30:00Z,Richarlison de Andrade,Spurs,2.8317375493834023,68
Rodrigo Hernandez2023-09-30T14:00:00Z,Rodrigo Hernandez,Man City,3.337652384061743,57
Ryan Christie2023-09-30T14:00:00Z,Ryan Christie,Bournemouth,2.7908091248336433,50
Ryan Yates2023-10-01T13:00:00Z,Ryan Yates,Nott'm Forest,2.1876026013732712,49
Sander Berge2023-09-30T14:00:00Z,Sander Berge,Burnley,1.5947119320791356,48
Sandro Tonali2023-09-30T14:00:00Z,Sandro Tonali,Newcastle,2.9974435356171587,55
Saïd Benrahma2023-09-30T14:00:00Z,Saïd Benrahma,West Ham,2.7298589510772024,58
Scott McTominay2023-09-30T14:00:00Z,Scott McTominay,Man Utd,2.356959522724581,48
Sean Longstaff2023-09-30T14:00:00Z,Sean Longstaff,Newcastle,3.134609158942436,49
Simon Adingra2023-09-30T11:30:00Z,Simon Adingra,Brighton,2.780784540071245,50
Solly March2023-09-30T11:30:00Z,Solly March,Brighton,3.9312843152993873,65
Son Heung-min2023-09-30T16:30:00Z,Son Heung-min,Spurs,4.450296632724252,92
Tahith Chong2023-09-30T14:00:00Z,Tahith Chong,Luton,1.8213575701435432,49
Tom Cairney2023-10-02T19:00:00Z,Tom Cairney,Fulham,1.656534773694905,49
Tomáš Souček2023-09-30T14:00:00Z,Tomáš Souček,West Ham,3.0724422759549497,49
Tyler Adams2023-09-30T14:00:00Z,Tyler Adams,Bournemouth,1.7266389525135124,50
Vini de Souza Costa2023-09-30T14:00:00Z,Vini de Souza Costa,Sheffield Utd,1.770923407964681,50
Vitaly Janelt2023-10-01T13:00:00Z,Vitaly Janelt,Brentford,2.433096205763224,54
Wataru Endo2023-09-30T16:30:00Z,Wataru Endo,Liverpool,2.413857537277994,55
Will Hughes2023-09-30T14:00:00Z,Will Hughes,Crystal Palace,2.0715275115319973,49
Willian Borges da Silva2023-10-02T19:00:00Z,Willian Borges da Silva,Fulham,2.9035406993468307,53
Wilson Odobert2023-09-30T14:00:00Z,Wilson Odobert,Burnley,1.8026586778029017,50
Youri Tielemans2023-09-30T11:30:00Z,Youri Tielemans,Aston Villa,2.118949780617677,58
Yves Bissouma2023-09-30T16:30:00Z,Yves Bissouma,Spurs,3.326990492417255,50
