,name,team,minutes
307,Tom Cairney,Fulham,0
580,Tom Davies,Sheffield Utd,0
413,Tommy Doyle,Man City,0
636,Tomáš Souček,West Ham,1
101,Tyler Adams,Bournemouth,1
304,Tyler Onyango,Everton,0
311,Tyrese Francois,Fulham,0
574,Vini de Souza Costa,Sheffield Utd,1
117,Vitaly Janelt,Brentford,1
364,Wataru Endo,Liverpool,1
257,Will Hughes,Crystal Palace,0
329,Willian Borges da Silva,Fulham,1
204,Wilson Odobert,Burnley,1
136,Yasin Ayari,Brighton,0
131,Yegor Yarmolyuk,Brentford,0
59,Youri Tielemans,Aston Villa,1
583,Yves Bissouma,Spurs,1
239,Ângelo Gabriel Borges Damaceno,Chelsea,0
