,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
154,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,28853.0,0.0,0.0,Adam Webster,45.0,DEF,Brighton,1,3.0,Luton,6,20,2.7777777777777777,2,0.0,0.0,75.0,1983.0,27.0,104.0,354.0,126.0,3.0,405.0,58.4,9.0,0.0,2.0,0.5,45.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,21151.0,0.0,0.0,Admiral Muskwe,45.0,FWD,Luton,1,0.0,Brighton,20,6,2.903225806451613,3,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,0.0,False,2023-08-13T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,27036.0,0.0,0.0,Adrián San Miguel del Castillo,40.0,GKP,Liverpool,1,1.0,Chelsea,5,12,2.7210884353741496,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,38.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,True,2023-08-12T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,1680.0,0.0,0.0,Albert Sambi Lokonga,50.0,MID,Arsenal,1,3.0,Nott'm Forest,2,16,2.7777777777777777,10,0.0,0.0,23.0,728.0,8.0,57.2,98.4,20.0,0.0,129.0,17.6,2.0,0.0,2.0,0.2,43.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,3.0,True,2023-08-14T19:00:00Z,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.8,14.0,1.5,50,0.0,221486.0,0.0,0.0,Alejandro Garnacho,50.0,MID,Man Utd,1,3.0,Wolves,3,13,2.9154518950437316,7,3.0,2.0,39.0,557.0,13.0,58.5,153.8,266.0,0.0,81.0,47.9,0.0,0.0,3.0,1.5,41.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1.0,False,2023-08-12T14:00:00Z,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.4,0.3,26.0,3.3,75,0.0,364552.0,0.0,0.0,Aleksandar Mitrović,75.0,FWD,Fulham,1,3.0,Everton,10,17,6.172839506172839,0,14.0,2.0,107.0,2010.0,30.0,216.5,584.8,1141.0,14.0,324.0,193.1,7.0,0.0,7.0,12.5,66.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2.0,True,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.4,40.7,46.0,10.6,55,0.0,75742.0,0.0,0.0,Alex Iwobi,55.0,MID,Everton,1,0.0,Fulham,17,10,4.435483870967742,0,2.0,8.0,126.0,3379.0,56.0,917.7,682.4,366.0,9.0,563.0,196.7,9.0,0.0,2.0,1.1,49.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,0.0,False,2023-08-12T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,3125.0,0.0,0.0,Alex Mighten,45.0,MID,Nott'm Forest,1,0.0,Arsenal,16,2,2.4,10,0.0,0.0,1.0,7.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0,True,2023-08-14T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,1236.0,0.0,0.0,Alex Telles,45.0,DEF,Man Utd,1,3.0,Wolves,3,13,2.623906705539359,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,13.0,True,2023-08-12T16:30:00Z,67.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,68.4,2.7,61.0,13.2,75,0.0,1346330.0,0.0,0.0,Alexander Isak,76.0,FWD,Newcastle,1,3.0,Aston Villa,4,7,4.273504273504273,1,10.0,2.0,100.0,1520.0,20.0,244.1,475.0,693.0,18.0,353.0,141.1,4.0,0.0,3.0,12.7,70.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,False,2023-08-12T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,4109.0,0.0,0.0,Alexandre Moreno Lopera,50.0,DEF,Aston Villa,1,0.0,Newcastle,7,4,3.2051282051282053,0,0.0,3.0,72.0,1325.0,10.0,321.1,254.4,151.0,5.0,278.0,72.3,7.0,0.0,3.0,2.1,45.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1.0,False,2023-08-13T15:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.6,13.5,0.0,2.7,60,0.0,993930.0,0.0,0.0,Alexis Mac Allister,60.0,MID,Liverpool,1,1.0,Chelsea,5,12,4.081632653061225,4,10.0,2.0,140.0,2882.0,45.0,729.6,741.0,706.0,18.0,567.0,217.8,10.0,0.0,8.0,14.7,56.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,0.0,False,2023-08-12T14:00:00Z,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,45,0.0,15179.0,0.0,0.0,Alfie Doughty,45.0,DEF,Luton,1,0.0,Brighton,20,6,2.903225806451613,0,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,0.0,False,2023-08-13T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,25074.0,0.0,0.0,Alfie Whiteman,40.0,GKP,Spurs,1,1.0,Brentford,8,9,2.373887240356083,2,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,3.0,False,2023-08-13T15:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,26.2,0.0,0.0,2.6,55,0.0,716489.0,0.0,0.0,Alisson Ramses Becker,55.0,GKP,Liverpool,1,1.0,Chelsea,5,12,3.741496598639456,0,0.0,1.0,162.0,3330.0,43.0,10.1,966.4,0.0,15.0,824.0,97.6,14.0,0.0,1.0,16.8,55.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,4328.0,0.0,0.0,Allan Campbell,50.0,MID,Luton,1,0.0,Brighton,20,6,3.225806451612903,0,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,0.0,True,2023-08-12T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,8130.0,0.0,0.0,Allan Saint-Maximin,60.0,MID,Newcastle,1,3.0,Aston Villa,4,7,3.4188034188034186,2,1.0,6.0,66.0,1109.0,14.0,344.1,266.4,370.0,4.0,240.0,98.2,4.0,0.0,1.0,3.1,61.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,3.0,False,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,21.2,0.0,0.0,2.1,40,0.0,1900454.0,0.0,0.0,Alphonse Areola,40.0,GKP,West Ham,1,1.0,Bournemouth,14,15,3.463203463203463,1,0.0,0.0,7.0,307.0,7.0,0.0,69.4,0.0,0.0,42.0,6.8,0.0,0.0,0.0,0.9,43.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,0.0,True,2023-08-14T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,4577.0,0.0,0.0,Amad Diallo,45.0,MID,Man Utd,1,3.0,Wolves,3,13,2.623906705539359,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2.0,True,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.4,38.1,17.0,6.7,50,0.0,20548.0,0.0,0.0,Amadou Onana,50.0,MID,Everton,1,0.0,Fulham,17,10,4.032258064516129,5,1.0,3.0,77.0,2486.0,37.0,295.1,347.2,280.0,2.0,300.0,92.0,9.0,0.0,9.0,0.1,47.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,0.0,False,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40,0.0,773157.0,0.0,0.0,Amari'i Bell,40.0,DEF,Luton,1,0.0,Brighton,20,6,2.5806451612903225,4,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1.0,True,2023-08-11T19:00:00Z,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,40,0.0,41402.0,0.0,0.0,Ameen Al-Dakhil,40.0,DEF,Burnley,1,0.0,Man City,20,1,2.4539877300613497,3,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,-2.0,True,2023-08-11T19:00:00Z,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,50,0.0,12451.0,0.0,0.0,Anass Zaroury,50.0,MID,Burnley,1,0.0,Man City,20,1,3.067484662576687,1,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,100072.0,0.0,0.0,Andi Zeqiri,45.0,FWD,Brighton,1,3.0,Luton,6,20,2.7777777777777777,4,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,4.0,False,2023-08-12T14:00:00Z,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6,0.8,2.0,0.3,55,0.0,93427.0,0.0,0.0,Andreas Hoelgebaum Pereira,55.0,MID,Fulham,1,3.0,Everton,10,17,4.526748971193416,0,4.0,10.0,123.0,2696.0,40.0,965.0,440.6,495.0,9.0,360.0,189.3,8.0,0.0,8.0,10.1,43.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2.0,False,2023-08-13T15:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.4,12.6,2.0,4.1,65,0.0,293741.0,0.0,0.0,Andrew Robertson,65.0,DEF,Liverpool,1,1.0,Chelsea,5,12,4.421768707482993,1,0.0,8.0,121.0,2579.0,34.0,862.1,549.2,211.0,10.0,633.0,162.3,9.0,0.0,3.0,6.0,68.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0.0,True,2023-08-13T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,12394.0,0.0,0.0,Andrey Nascimento dos Santos,45.0,MID,Chelsea,1,1.0,Liverpool,12,5,2.255639097744361,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,9.0,True,2023-08-14T19:00:00Z,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,32.0,0.0,0.0,0.0,0.0,50,0.0,2252615.0,0.0,0.0,André Onana,50.0,GKP,Man Utd,1,3.0,Wolves,3,13,2.9154518950437316,0,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,23949.0,0.0,0.0,André Tavares Gomes,45.0,MID,Everton,1,0.0,Fulham,17,10,3.629032258064516,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,5342.0,0.0,0.0,Andy Lonergan,40.0,GKP,Everton,1,0.0,Fulham,17,10,3.225806451612903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,1.0,True,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,45,0.0,37772.0,0.0,0.0,Anel Ahmedhodžić,45.0,DEF,Sheffield Utd,1,0.0,Crystal Palace,20,11,4.054054054054054,0,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,9427.0,0.0,0.0,Angelo Ogbonna,45.0,DEF,West Ham,1,1.0,Bournemouth,14,15,3.896103896103896,0,0.0,0.0,44.0,1234.0,19.0,35.2,212.8,24.0,4.0,217.0,27.4,4.0,0.0,0.0,0.1,44.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,0.0,True,2023-08-12T14:00:00Z,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,50,0.0,5273.0,0.0,0.0,Anis Slimane,50.0,MID,Sheffield Utd,1,0.0,Crystal Palace,20,11,4.504504504504505,0,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,4.0,False,2023-08-12T12:00:00Z,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.2,20.5,2.0,4.2,50,0.0,43975.0,0.0,0.0,Anthony Elanga,50.0,MID,Nott'm Forest,1,0.0,Arsenal,16,2,2.6666666666666665,3,0.0,1.0,23.0,417.0,2.0,78.8,52.4,162.0,0.0,53.0,28.7,2.0,0.0,0.0,0.4,46.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,4.0,True,2023-08-12T16:30:00Z,67.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,21.8,29.5,5.0,5.6,55,0.0,33579.0,0.0,0.0,Anthony Gordon,55.0,MID,Newcastle,1,3.0,Aston Villa,4,7,3.133903133903134,5,4.0,0.0,68.0,1574.0,18.0,215.3,265.6,517.0,5.0,186.0,99.8,4.0,0.0,7.0,0.9,51.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,8651.0,0.0,0.0,Anthony Knockaert,45.0,MID,Fulham,1,3.0,Everton,10,17,3.7037037037037037,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,0.0,True,2023-08-14T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,19041.0,0.0,0.0,Anthony Martial,65.0,FWD,Man Utd,1,3.0,Wolves,3,13,3.7900874635568513,0,6.0,3.0,66.0,970.0,8.0,179.0,305.2,376.0,4.0,230.0,85.4,7.0,0.0,0.0,2.9,63.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,True,2023-08-12T14:00:00Z,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.3,3.0,0.5,45,0.0,65212.0,0.0,0.0,Antoine Semenyo,45.0,FWD,Bournemouth,1,1.0,West Ham,15,14,3.1578947368421053,2,1.0,0.0,18.0,250.0,6.0,26.5,50.0,32.0,1.0,56.0,10.7,0.0,0.0,0.0,0.0,50.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,6.0,False,2023-08-12T14:00:00Z,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.2,2.8,6.0,3.0,45,0.0,51917.0,0.0,0.0,Antonee Robinson,45.0,DEF,Fulham,1,3.0,Everton,10,17,3.7037037037037037,0,0.0,2.0,93.0,3088.0,44.0,417.6,553.0,57.0,5.0,558.0,102.9,9.0,0.0,8.0,0.5,44.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,3.0,True,2023-08-14T19:00:00Z,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.4,34.8,19.0,6.1,70,0.0,110792.0,0.0,0.0,Antony Matheus dos Santos,70.0,MID,Man Utd,1,3.0,Wolves,3,13,4.081632653061225,2,4.0,2.0,82.0,1803.0,21.0,421.0,322.0,633.0,4.0,262.0,137.1,12.0,0.0,5.0,3.4,73.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,20251.0,0.0,0.0,Aribim Pepple,45.0,FWD,Luton,1,0.0,Brighton,20,6,2.903225806451613,3,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
