,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
524,,True,2023-08-18T18:45:00Z,,,,,,,,,,,,,,,,,,45,,,,,Alex Mighten,,MID,Nott'm Forest,2,,Sheffield Utd,16,20,2.3017902813299234,10,0.0,0.0,1.0,7.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,MID,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,,False,2023-08-19T19:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Alex Murphy,,DEF,Newcastle,2,,Man City,4,1,2.1208907741251326,7,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Alex Scott,,MID,Bournemouth,2,,Liverpool,15,5,3.2051282051282053,2,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,False,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,45,,,,,Alex Telles,,DEF,Man Utd,2,,Spurs,3,8,2.459016393442623,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,,False,2023-08-19T19:00:00Z,,,,,,,,,,,,,,,,,,76,,,,,Alexander Isak,,FWD,Newcastle,2,,Man City,4,1,4.029692470837752,1,10.0,2.0,100.0,1520.0,20.0,244.1,475.0,693.0,18.0,353.0,141.1,4.0,0.0,3.0,12.7,70.0,FWD,2023-24,0.0,3.0,51.0,0.0,2.7,1.0,2.0,13.2,68.4,67.0,0.0,0.0,0.0,0.0,0.0,1346330.0,61.0,13.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,True,2023-08-20T13:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Alexandre Moreno Lopera,,DEF,Aston Villa,2,,Everton,7,17,3.115264797507788,0,0.0,3.0,72.0,1325.0,10.0,321.1,254.4,151.0,5.0,278.0,72.3,7.0,0.0,3.0,2.1,45.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4109.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,60,,,,,Alexis Mac Allister,,MID,Liverpool,2,,Bournemouth,5,15,3.6474164133738602,4,10.0,2.0,140.0,2882.0,45.0,729.6,741.0,706.0,18.0,567.0,217.8,10.0,0.0,8.0,14.7,56.0,MID,2023-24,0.0,0.0,13.0,0.0,13.5,1.0,0.0,2.7,13.6,90.0,0.0,0.0,0.0,0.0,0.0,993930.0,0.0,1.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,,False,2023-08-25T19:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Alfie Doughty,,DEF,Luton,2,,Chelsea,20,12,2.662721893491124,0,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,15179.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,,True,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,40,,,,,Alfie Whiteman,,GKP,Spurs,2,,Man Utd,8,3,2.185792349726776,2,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25074.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,55,,,,,Alisson Ramses Becker,,GKP,Liverpool,2,,Bournemouth,5,15,3.3434650455927053,0,0.0,1.0,162.0,3330.0,43.0,10.1,966.4,0.0,15.0,824.0,97.6,14.0,0.0,1.0,16.8,55.0,GK,2023-24,0.0,0.0,16.0,0.0,0.0,1.0,0.0,2.6,26.2,90.0,0.0,0.0,0.0,0.0,4.0,716489.0,0.0,3.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,,False,2023-08-25T19:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Allan Campbell,,MID,Luton,2,,Chelsea,20,12,2.9585798816568047,0,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4328.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
